"PAYOUT_tx.id","tx.time","tx.amount","tx.id","payin.addrs","tx.amount.cumsum","payout.threshold.reached.payin.number","payout.threshold.reached.payin.time","sort.id","PAYOUT_tx.time","PAYOUT_tx.amount","PAYOUT_payout.addrs","PAYOUT_tx.amount.cumsum","PAYOUT_tx.amount.scaled","PAYOUT_tx.amount.scaled.cumsum","payout.threshold.reached.payin.payout.time.diff","payout.threshold.reached.payin.payout.time.diff.hours"
"2dae7e64eeab509d6bc8ce6963914db15c9da5223ccb1ae846f317598ba68042",2021-05-31 18:47:42,0.1,"aba07bd92f203d95398c85459be50a3fbfc312d8e1a8f0818582881baa83d1e0","19sP2UCDrLVfmFJArwXraJ6TyACwqS1G1W",3.85506032,43,2021-06-02 16:18:51,23,2021-06-02 20:31:50,0.17998,"19sP2UCDrLVfmFJArwXraJ6TyACwqS1G1W",1.57735078,0.199977777777778,1.75261197777778,4.21638888888889,4.21638888888889
"97ec34e66f386c2eaa4b96a781d87f32408c2903d137afd27b9adf7b3ec097fd",2021-05-31 22:30:58,0.29133782,"26be97f5cd615eff778dca12ff0a3de29c01f1b660b2e60d12f0fd712623d7c1","1KNGbVCThbnbDMGpHFZkfA963dDZUcbV1Y|1A9EfsziSQwnfybFzoAvooXdowiMrdcwJV",4.14639814,43,2021-06-02 16:18:51,24,2021-06-02 20:31:50,0.52438808,"1A9EfsziSQwnfybFzoAvooXdowiMrdcwJV",2.13422097,0.582653422222222,2.37135663333333,4.21638888888889,4.21638888888889
"125ca1df808d4289e2118afb7df86c35cf106cdc2cc09c7dd80599025ce4a9d9",2021-06-01 12:11:34,0.00738437,"1677a2617a5c2f56bea46313841cee5963b3c923b7ff8f9f96fff30f3b33a2bf","1LhZfV2AG2sXZdb1UL6gfnZn5jyJtQ1NEC",4.15378251,43,2021-06-02 16:18:51,25,2021-06-02 20:31:50,0.01327187,"1LhZfV2AG2sXZdb1UL6gfnZn5jyJtQ1NEC",7.81720613,0.0147465222222222,8.68578458888889,4.21638888888889,4.21638888888889
"552bd313e3370de32594822f9d0a9f976b042d60a95df9f8d246ba04b76d710c",2021-06-01 13:41:00,0.0021007,"7cafc1b8a96d5a4d2aa7233a71960798652f4b6dd5a31f82e4aaa8521c6d15d3","1FxgJYNVgLS7iGF5MiLTEpffbpyAAhzGup",4.15588321,43,2021-06-02 16:18:51,26,2021-06-02 20:31:50,0.00376126,"1FxgJYNVgLS7iGF5MiLTEpffbpyAAhzGup",1.36119049,0.00417917777777778,1.51243387777778,4.21638888888889,4.21638888888889
"ea9f93356ed1d9bedd08655d59f2aaa0787ede6ca4538c107f1c9efdefb7e55d",2021-06-01 13:41:00,0.01805673,"d0cc21d9cdfdd334ec9559b4cc385b673ea0b73c4ebc1e9ef1b6c57733c3ced4","1Kqiy2axaZWVYKTBrQrt3JYXmhq3R3zmdb",4.17393994,43,2021-06-02 16:18:51,27,2021-06-02 20:31:50,0.03248211,"1Kqiy2axaZWVYKTBrQrt3JYXmhq3R3zmdb",1.60983289,0.0360912333333333,1.78870321111111,4.21638888888889,4.21638888888889
"13d3d6561f4a598e6d370e839d29b8a9ddd561bf30c09c27ef627dd376d1971d",2021-06-02 12:20:00,0.01715942,"c94475201675001f860711b59406bd08730a28e68a68d729842ec94586d9c907","1D37CcBt4k6noZXUP4CBdkok253LV6uDwn",4.19109936,43,2021-06-02 16:18:51,28,2021-06-02 20:31:50,0.03086696,"1D37CcBt4k6noZXUP4CBdkok253LV6uDwn",7.84807309,0.0342966222222222,8.72008121111111,4.21638888888889,4.21638888888889
"512b9e4d3ab070451344b88ea8ce0cdb4f13fa27c96e96df3631dd9a53095271",2021-06-02 12:37:46,0.1405837,"ef9166fede09a907cb46ec696e59b82cd193b7a4259696f9a3b76e11c0d07376","1Fe3TGMhevgoLgF1euAU3B75ky7JFNo5Ts",4.33168306,43,2021-06-02 16:18:51,29,2021-06-03 07:31:54,0.1940403,"1Fe3TGMhevgoLgF1euAU3B75ky7JFNo5Ts",121.99920842,0.215600333333333,135.554676022222,15.2175,15.2175
"0f5f45244c7979669389847ccec04894a7ab0fd23f00049a0a1bf040a19b484f",2021-06-02 12:37:46,0.00858506,"1f9ce6dafe1899e4656f78d8fb2f48661167bf4c50d0200f72a1d390adecf2ad","1775ipAC83DPqQ52RE4fYNvVbFs8sfB1Pd",4.34026812,43,2021-06-02 16:18:51,30,2021-06-02 20:31:50,0.01543311,"1775ipAC83DPqQ52RE4fYNvVbFs8sfB1Pd",7.80266474,0.0171479,8.66962748888889,4.21638888888889,4.21638888888889
"c65186ebd3de0b4eb60a18ed684bbf92dcf8013e553e925cf7498d6613046a8b",2021-06-02 14:03:23,0.02011127,"b05c62aa59f01e58ceed192e813e43bc3ad0e2fae6a8a753b2e84137ed45f05e","1HzSrZ2TdSMaBweK7bTnAt7cH4BAFtZvFL|1JHC3JB2njynvo11GDXJSHS9N185jEcP73",4.36037939,43,2021-06-02 16:18:51,31,2021-06-03 15:53:51,0.03572654,"1JHC3JB2njynvo11GDXJSHS9N185jEcP73",974.50223507,0.0396961555555556,1082.78026118889,23.5833333333333,23.5833333333333
"9b1c9b232aa6604fbd729086e1b2c0fb767f2ac226d4389eb380708b64e2100c",2021-06-02 14:03:23,1,"3509ee864fd1de246b8ea28e704f5b342504428fb46d21235b09f019c8e7f350","1ET21aE452egKUYSZDqnCaSYmwfVhP4FbK",5.36037939,48,2021-06-02 17:12:58,32,2021-06-03 00:27:32,1.79998,"1ET21aE452egKUYSZDqnCaSYmwfVhP4FbK",9.64805309,1.99997777777778,10.7200589888889,7.24277777777778,7.24277777777778
"1a234a2c5b65f3e0bf475114e3c0d6e8f56cb0638a6290d4ccf1f56b519e5ff7",2021-06-02 14:32:59,0.0714906,"d46676946d28b63ee8ce3db2693cab8e0a8a1b209a9cc381e0f7a4fa37c97da3","1F3tDXEs15AnLm3kT67ENx2sx6pPYFLP6t",5.43186999,48,2021-06-02 17:12:58,33,2021-06-03 00:57:56,0.12866308,"1F3tDXEs15AnLm3kT67ENx2sx6pPYFLP6t",9.89222191,0.142958977777778,10.9913576777778,7.74944444444444,7.74944444444444
"f6f492175f83e42ba253e955e776126ea0ccfb680cc057d5fb561d253a37e4e7",2021-06-02 14:32:59,0.05,"2bfca86b652f93619d210d9ff92303cd2d5b16dde2c0f5b71022e4ec27b9aff4","1Jz39QA4zBQXPns12dVematVVDqXJ82Ymf",5.48186999,48,2021-06-02 17:12:58,34,2021-06-03 00:27:32,0.08998,"1Jz39QA4zBQXPns12dVematVVDqXJ82Ymf",9.73803309,0.0999777777777778,10.8200367666667,7.24277777777778,7.24277777777778
"e8c35a3f280462d70f902892f29a9dce88aca9780b439f0f031903a68bacb4df",2021-06-02 14:55:06,0.00707829,"9ba49c8ef37a37d9516c4fd54d86738ce27793ce9771e26f4df440f6d497185f","18NoQhVMh7zcP583G6GwPjSCt3ZXytSA4G|16ZqKq5dPURRLgZeGL6Rx8hrpNC5j7udsb",5.48894828,48,2021-06-02 17:12:58,35,2021-06-03 00:57:56,0.01272092,"16ZqKq5dPURRLgZeGL6Rx8hrpNC5j7udsb",12.88229875,0.0141343555555556,14.3136652777778,7.74944444444444,7.74944444444444
"2b2473d92c5fd5ecc16981492e2a897071b65f676688b7697b501a2b2bae7389",2021-06-02 14:55:06,0.01419208,"a7a56330e7324c25f1ec54cca1841692ac23b1167646a4020a9adc8745698e55","15NaZAbLSm9NECwZis11NjWvfPX7aW2FoQ",5.50314036,48,2021-06-02 17:12:58,36,2021-06-03 00:57:56,0.02552574,"15NaZAbLSm9NECwZis11NjWvfPX7aW2FoQ",9.76355883,0.0283619333333333,10.8483987,7.74944444444444,7.74944444444444
"744929e9e803c2341a36ccedebbbb2ccbb9d701ddb245986aab7396240a34a4b",2021-06-02 15:10:52,0.000179,"52ab3780d8180d399472e8781448b3f04b253e137ad663910cff3f831df00023","173U6fK6VcNZYhdeoFDE1J1c31DyvcAYxZ",5.50331936,48,2021-06-02 17:12:58,37,2021-06-03 00:57:56,0.0003022,"173U6fK6VcNZYhdeoFDE1J1c31DyvcAYxZ",11.06705989,0.000335777777777778,12.2967332111111,7.74944444444444,7.74944444444444
"500f45f541a758438a9b7bb778f5bc94af87fd76bbb92813fc741e6517a5c0a2",2021-06-02 15:10:52,0.375,"06f871e887b9bff9339df59d6284b8c37d0eb14c34a03f90d2bcc426d77d7fa1","17bwp47nZCPa7DVX2r4rMBEqnBkD8QJSnu",5.87831936,48,2021-06-02 17:12:58,38,2021-06-03 00:57:56,0.67498,"17bwp47nZCPa7DVX2r4rMBEqnBkD8QJSnu",10.92718191,0.749977777777778,12.1413132333333,7.74944444444444,7.74944444444444
"5aa8a4ca58e50c0c378916085385c522867331b5f5d2d00bc70d6ad91e0aa80a",2021-06-02 15:38:10,0.00142108,"40e5429973a6626e0e8904ea8692376d6e8644bb4be523a2158974e6416e38bb","1NvU792YqAemUSPiV4cHV2yKa2z716hr99",5.87974044,48,2021-06-02 17:12:58,39,2021-06-03 00:57:56,0.00253794,"1NvU792YqAemUSPiV4cHV2yKa2z716hr99",12.86957783,0.00281993333333333,14.2995309222222,7.74944444444444,7.74944444444444
"c10bae78a6a0ebed048bc14786348e2c7ed043fb91a10e6c45c5b0a3a779e60d",2021-06-02 16:04:19,0.07755321,"925570c8944bac58f8de869a7bb11fd896ce3e5cb1836816e2a183c25656e297","1MEgUJ5SWFY8qWRKb3Tzi7suubs9ttWPox",5.95729365,48,2021-06-02 17:12:58,40,2021-06-03 00:57:56,0.13957578,"1MEgUJ5SWFY8qWRKb3Tzi7suubs9ttWPox",11.06675769,0.1550842,12.2963974333333,7.74944444444444,7.74944444444444
"affe88913596c9f64842df85780ff0883254d8e9452fb19206f92fe21fd97ef1",2021-06-02 16:18:51,0.2,"06c822f7cf0f5939b6ea2ee2bb3bc16a25eb101bf095391cbb7beee13bcbb430","1JZSohvcsyguRhpwRcVd9cTKdnAfsoT56q",6.15729365,48,2021-06-02 17:12:58,41,2021-06-03 00:57:56,0.35998,"1JZSohvcsyguRhpwRcVd9cTKdnAfsoT56q",10.25220191,0.399977777777778,11.3913354555556,7.74944444444444,7.74944444444444
"450658f70bd1da25f917bce32e73d9707448a9bc452134218541789b24863964",2021-06-02 16:18:51,1,"595191e59e461b9e4ca54e28d510c35e0bccc476cc049a3fbcdab84c1e4ed9af","1APsQWUeeBGA4o54T8REtPBy2sRgAyG5BM",7.15729365,50,2021-06-02 17:12:58,42,2021-06-03 00:57:56,1.79998,"1APsQWUeeBGA4o54T8REtPBy2sRgAyG5BM",12.86703989,1.99997777777778,14.2967109888889,7.74944444444444,7.74944444444444
"7c015ecbc00f74c5c56798a806bda83d0cd4a47382114cb47b0c28e224ba6ecd",2021-06-02 16:18:51,2,"1e7108d11e3d8d04a413d9d4e8d0e5eddb932e4926b65b96a968395cf3f66d84","1NnZQFqasv2EjzmRT7FWryfwJYuKguGjQL",9.15729365,51,2021-06-02 17:12:58,43,2021-06-03 01:04:10,3.59998,"1NnZQFqasv2EjzmRT7FWryfwJYuKguGjQL",16.48227875,3.99997777777778,18.3136430555556,7.85333333333333,7.85333333333333
"cc33e3ad6be6f7e11155e7f9ccec0525f215fe94f528725f7cada0c3d35b4dc0",2021-06-02 16:27:40,0.0028572,"18cb7eaaddedaa7c30b28a073db3664131f76f2fbd189085bb6e4c1586f04b62","1JJjPQn2mpHofv6cSYupoviazkfvWax6D8|1HFXPNn6cPbTKfykpfbThuUNzGqACvXaVk",9.16015085,51,2021-06-02 17:12:58,44,2021-06-03 01:08:16,0.00512296,"1HFXPNn6cPbTKfykpfbThuUNzGqACvXaVk",16.48995515,0.00569217777777778,18.3221723888889,7.92166666666667,7.92166666666667
"aa960fd64825442f09bd79a0476af42852138a8de2bcc8038a24f83bc717837b",2021-06-02 16:27:40,0.00142969,"4fea77ad59876f66a164e9e90c75870a5e8c2b274957581390beed0df66b5f15","1AW17sanP6QW4SBE8v3TWtxoAtFij4rUzr|1LgVa2yUbLsFjn1ZfEV4WZnoXAUKKFWWr5",9.16158054,51,2021-06-02 17:12:58,45,2021-06-03 01:08:16,0.00255344,"1LgVa2yUbLsFjn1ZfEV4WZnoXAUKKFWWr5",16.48483219,0.00283715555555556,18.3164802111111,7.92166666666667,7.92166666666667
"c71d61c51b9ac9d78f70dfc093e8303f5c97ae8fac489b7e49c37a8e3e41dd1d",2021-06-02 16:30:39,0.99999075,"39270ecc28dd46f6d6d69ccc351d85a75179faead27f3b26e92a5d15092c8fd5","1A2DMgjMdCyF3UaJ2bSTEAJ21vrKybXiVG",10.16157129,54,2021-06-02 18:26:05,46,2021-06-03 01:08:16,1.79996335,"1A2DMgjMdCyF3UaJ2bSTEAJ21vrKybXiVG",18.2899185,1.99995927777778,20.3221316666667,6.70305555555556,6.70305555555556
"c22b6a7f66739393b3ffc65b2d3524ebe600dc72df3dca050d8cb090af035473",2021-06-02 17:12:58,0.17459756,"a843f8da1d57d11140d6dd714844e6198164e185861ae8dd5b8aaa14f1aab494","18zdsyMuuf2gomZNKM7bAELt1UE2t4MaDw|14fWdyi7xZDgFqMqJSpxNxhUy5Mc466Uxi",10.33616885,54,2021-06-02 18:26:05,47,2021-06-03 01:08:16,0.31425561,"14fWdyi7xZDgFqMqJSpxNxhUy5Mc466Uxi",18.60417411,0.3491729,20.6713045666667,6.70305555555556,6.70305555555556
"d4b59f4b8ef65faad35d0222edcd1a482d17f46dc01320553b0f327a44ac4376",2021-06-02 17:12:58,2,"b6a2dfbf104d857d4c0b543ad58eff51d3bb68465e6a442f956ba180a2574f61","16ZU4wpHy5j9HHFAGhmXUJuvXLBHHqXwe7|1DLHTw9zVbdmZTeCe96eQDPK5Wim3h3DKa",12.33616885,57,2021-06-02 18:26:05,48,2021-06-03 01:52:12,3.59998,"1DLHTw9zVbdmZTeCe96eQDPK5Wim3h3DKa",34.96727293,3.99997777777778,38.8525254777778,7.43527777777778,7.43527777777778
"95fbd317b9ae41cb5055db8f2677a8f5f0ddbe46f9a55d9ff187563f26164813",2021-06-02 17:12:58,1.46566807,"10ff5006b3bfc522ca023b792faa2b7204ad61c031a09a2fb998b12c234f6e0f","19cQi6dZA3pNde9Lj4N8GR6Fcm6vKXpDxJ|1K6CTRygxcSEBBLbDRLSNJiz2C8tatA6Mr",13.80183692,59,2021-06-02 18:26:05,49,2021-06-03 01:08:16,2.63818253,"1K6CTRygxcSEBBLbDRLSNJiz2C8tatA6Mr",21.24235664,2.93131392222222,23.6026184888889,6.70305555555556,6.70305555555556
"64ede886c2d1f17c841f9cc2c9580a1dd621a804f7bb06df485a840a452507cf",2021-06-02 17:12:58,1,"4fb97fd964660d9c3756325192945a52d9e80626e4f72531cd39965d34d33e36","1JwccbFZUyxiTfnXVRk1VHQS4xm6sSuqaP",14.80183692,60,2021-06-02 18:26:05,50,2021-06-03 01:38:15,1.79998,"1JwccbFZUyxiTfnXVRk1VHQS4xm6sSuqaP",31.36729293,1.99997777777778,34.8525477,7.20277777777778,7.20277777777778
